filename,width,height,class,xmin,ymin,xmax,ymax
CarTwo28_png.rf.012165373fa1e2903adf452ea0021df6.jpg,224,224,fire,113,84,160,158
CarOne91_png.rf.0042b91864959fc4d4879fe550db1321.jpg,224,224,fire,124,89,142,115
CarOne91_png.rf.0042b91864959fc4d4879fe550db1321.jpg,224,224,fire,60,68,106,183
CarOne91_png.rf.0042b91864959fc4d4879fe550db1321.jpg,224,224,fire,110,85,122,101
FireDataThree23949_png.rf.008aff8b4ce2cec11c7a86f0f1af0bab.jpg,224,224,fire,99,98,127,178
FireDataOne1861_png.rf.01224b28fe77cb11d99471f28f55e79e.jpg,224,224,fire,28,52,110,187
------2022-05-30-202839_png.rf.0122c187159d560e1583d447e4024470.jpg,1645,494,fire,1205,286,1223,371
------2022-05-30-202839_png.rf.0122c187159d560e1583d447e4024470.jpg,1645,494,fire,454,291,469,368
------2022-05-30-202839_png.rf.0122c187159d560e1583d447e4024470.jpg,1645,494,fire,890,258,933,419
------2022-05-30-202839_png.rf.0122c187159d560e1583d447e4024470.jpg,1645,494,fire,1573,334,1594,410
------2022-05-30-202839_png.rf.0122c187159d560e1583d447e4024470.jpg,1645,494,fire,1303,6,1326,123
------2022-05-30-202839_png.rf.0122c187159d560e1583d447e4024470.jpg,1645,494,fire,90,29,132,111
------2022-05-30-202839_png.rf.0122c187159d560e1583d447e4024470.jpg,1645,494,fire,954,16,1010,165
------2022-05-30-202839_png.rf.0122c187159d560e1583d447e4024470.jpg,1645,494,fire,1584,48,1604,135
------2022-05-30-202839_png.rf.0122c187159d560e1583d447e4024470.jpg,1645,494,fire,425,38,445,146
------2022-05-30-202839_png.rf.0122c187159d560e1583d447e4024470.jpg,1645,494,fire,1489,51,1510,140
FireDataOne10529_png.rf.018326cf9e481ac9331c01258b763740.jpg,224,224,fire,40,66,199,173
FireDataOne10529_png.rf.018326cf9e481ac9331c01258b763740.jpg,224,224,fire,8,113,29,141
CarThree405_png.rf.01f6a693ea6e2ea1d6acdcdac0a3f2b3.jpg,224,224,fire,113,59,175,200
FireDataOne5737_png.rf.0274566a12f7cf8fdedeb8870a1cf7b5.jpg,224,224,fire,0,68,207,169
FlashoverDemonstration1078_png.rf.01d7468eb220ab226e6f1134bb5e14ad.jpg,224,224,fire,150,109,158,140
FireDataTwo8779_png.rf.028d93e831eb5f609c32ff456794882d.jpg,224,224,fire,95,122,129,136
2ndAlarmFire117N5299_png.rf.0265af39512dafd8c657ec36c151ab76.jpg,224,224,fire,80,113,92,134
2ndAlarmFire117N5299_png.rf.0265af39512dafd8c657ec36c151ab76.jpg,224,224,fire,64,142,84,181
2ndAlarmFire117N5299_png.rf.0265af39512dafd8c657ec36c151ab76.jpg,224,224,fire,60,0,88,91
FireDataThree14238_png.rf.04a3ce5640e5c644003b70d20c2d001c.jpg,224,224,fire,101,68,134,168

FireDataThree10432_png.rf.0330cbb0090c539064a41815f9c542e2.jpg,224,224,fire,101,102,134,165
FlashoverDemonstration1548_png.rf.059cfa936c2b4c7e176eba11b2809020.jpg,224,224,fire,127,100,141,144
CarThree532_png.rf.05691b202e6348d72509c6c04393bd3f.jpg,224,224,fire,117,68,163,200
HouseTwo592_png.rf.059eff9fe0ef13d06ec47defbdffac27.jpg,224,224,fire,132,0,158,47
FireDataOne9369_png.rf.06bf38217efce03c707881ae4341194a.jpg,224,224,fire,84,111,123,138
FireDataThree24342_png.rf.01e8132e1e009f6b7395af5a7fe553fc.jpg,224,224,fire,99,92,127,178
Eight1435_png.rf.0364fe3847253d0dfe6d42d6094b7512.jpg,224,224,fire,51,123,69,135
FireDataTwo5802_png.rf.0708909ff576db5cd747dd7859306ffb.jpg,224,224,fire,0,98,224,160
CarThree351_png.rf.049f0144b53c86e8b1586d30d9ca658e.jpg,224,224,fire,121,70,174,200
FireDataOne11811_png.rf.036a04b29e30711f049d92538aafd785.jpg,224,224,fire,13,96,41,116
FireDataOne11811_png.rf.036a04b29e30711f049d92538aafd785.jpg,224,224,fire,104,88,164,131
FireDataOne11811_png.rf.036a04b29e30711f049d92538aafd785.jpg,224,224,fire,45,98,93,122
FireDataOne11811_png.rf.036a04b29e30711f049d92538aafd785.jpg,224,224,fire,57,80,114,104
FireDataTwo1375_png.rf.066296a9b9e315b528c34c3d09492bed.jpg,224,224,fire,129,115,156,161
barbecue171_png.rf.0718fb7dfb48537dcc2eb1895ba6a81c.jpg,224,224,fire,97,89,128,190
FireDataTwo6141_png.rf.049ce5224844782e1fb0b4ac4d9039f5.jpg,224,224,fire,0,47,224,132
WaterMistFireDemonstration2043_png.rf.06f7e0cae1dc1bddb85397e51afbdd92.jpg,224,224,fire,104,129,115,150
2ndAlarmFire117N3679_png.rf.0406e8c3dac6bbd58ef17073f6949157.jpg,224,224,fire,140,86,166,143
